City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
121,Palmer,US,42.1584,-72.3287,62.49,64,95,5.12,overcast clouds
122,Coihaique,CL,-45.5752,-72.0662,29.01,98,31,3.13,scattered clouds
123,Raisen,IN,23.3333,77.8,85.51,35,5,5.55,clear sky
124,San Quintin,MX,30.4833,-115.95,62.83,71,7,5.39,clear sky
125,Dingle,PH,10.9995,122.6711,86.81,70,100,7.7,overcast clouds
126,Saint Anthony,US,45.0205,-93.218,64.29,33,0,12.66,clear sky
127,Khatanga,RU,71.9667,102.5,32.5,81,100,2.35,overcast clouds
128,Buin,CL,-33.7333,-70.75,65.05,65,100,2.44,light rain
129,Bambous Virieux,MU,-20.3428,57.7575,70.21,78,45,7.96,light rain
130,Busselton,AU,-33.65,115.3333,62.02,71,98,3.71,overcast clouds
131,Meadow Lake,US,34.8014,-106.5436,71.33,9,62,22.41,broken clouds
132,Najran,SA,17.4924,44.1277,74.16,14,43,2.17,scattered clouds
133,Hueytamalco,MX,19.95,-97.2667,76.6,76,98,2.82,overcast clouds
134,Kaputa,ZM,-8.4689,29.6619,68.77,70,99,5.3,overcast clouds
135,Avarua,CK,-21.2078,-159.775,84.25,74,20,4.61,few clouds
136,Haikou,CN,20.0458,110.3417,79.7,88,100,2.42,overcast clouds
137,Clyde River,CA,70.4692,-68.5914,9.39,84,97,6.58,overcast clouds
138,Olafsvik,IS,64.8945,-23.7142,42.6,88,100,5.28,overcast clouds
139,Port Hardy,CA,50.6996,-127.4199,50.49,75,100,3.85,overcast clouds
140,Puerto Castilla,HN,16.0167,-85.9667,83.23,78,51,26.22,broken clouds
141,Bowen,AU,-20.0167,148.2333,73.24,73,100,9.15,overcast clouds
142,Guerrero Negro,MX,27.9769,-114.0611,65.86,66,0,12.44,clear sky
143,Kharakvasla,IN,18.4333,73.7667,74.17,81,21,5.5,few clouds
144,Matamoros,MX,25.5333,-103.25,93.31,13,0,10.36,clear sky
145,Sangar,RU,63.9242,127.4739,39.16,64,56,19.15,broken clouds
146,Tuktoyaktuk,CA,69.4541,-133.0374,39.85,72,100,8.25,overcast clouds
147,Biloela,AU,-24.4167,150.5,70.18,67,100,11.27,overcast clouds
148,Upernavik,GL,72.7868,-56.1549,20.77,65,100,10.42,overcast clouds
149,Jamestown,US,42.097,-79.2353,58.64,82,75,4.61,broken clouds
150,Castro,BR,-24.7911,-50.0119,53.13,86,0,3.29,clear sky
151,Asau,RO,46.4333,26.4,52.72,90,61,3.91,broken clouds
152,Villazon,BO,-22.0866,-65.5942,44.55,14,0,2.86,clear sky
153,Ribeira Grande,PT,38.5167,-28.7,63.07,84,92,14.14,overcast clouds
154,Jiuquan,CN,39.7432,98.5174,70.21,25,100,13.58,overcast clouds
155,Kuruman,ZA,-27.4524,23.4325,52.72,58,0,3.15,clear sky
156,Nicoya,CR,10.1483,-85.452,74.53,95,100,1.77,overcast clouds
157,Bikaner,IN,28.0167,73.3,80.15,43,0,9.71,clear sky
158,Valparaiso,CL,-33.0393,-71.6273,58.48,80,0,3.44,clear sky
159,Nemuro,JP,43.3236,145.575,46.87,79,36,8.75,scattered clouds
160,Berlevag,NO,70.8578,29.0864,49.95,40,100,6.91,overcast clouds
161,Lao Cai,VN,22.4833,103.95,74.28,99,100,0.18,overcast clouds
162,Hofn,IS,64.2539,-15.2082,45.91,85,100,4.9,overcast clouds
163,Bocanda,CI,7.0626,-4.4995,71.78,99,100,4.12,overcast clouds
164,Quatre Cocos,MU,-20.2078,57.7625,70.09,77,46,9.04,light rain
165,Lundazi,ZM,-12.2929,33.1782,60.19,83,64,5.1,broken clouds
166,Pacasmayo,PE,-7.4006,-79.5714,64.06,84,43,13.67,scattered clouds
167,Kodiak,US,57.79,-152.4072,47.71,81,100,8.05,overcast clouds
168,Hithadhoo,MV,-0.6,73.0833,82.58,69,8,0.96,clear sky
169,Bukama,CD,-9.2,25.85,65.12,61,76,3.49,broken clouds
170,Yaan,NG,7.3833,8.5667,75.69,80,100,7.78,overcast clouds
171,Port Augusta,AU,-32.5,137.7667,68.23,53,66,21.99,broken clouds
172,Beringovskiy,RU,63.05,179.3167,43.36,62,0,5.82,clear sky
173,Portland,US,45.5234,-122.6762,65.05,69,100,5.99,overcast clouds
174,Jimenez,MX,28.3333,-105.4,92.08,6,0,19.44,clear sky
175,Bathsheba,BB,13.2167,-59.5167,81.21,78,20,18.41,few clouds
176,Sitka,US,57.0531,-135.33,51.69,71,100,9.22,light rain
177,Margate,GB,51.3813,1.3862,49.69,86,0,1.99,clear sky
178,Mackenzie,CA,55.2999,-123.1698,58.21,32,100,6.73,overcast clouds
179,Ilulissat,GL,69.2167,-51.1,21.22,73,20,0.0,few clouds
180,Neiafu,TO,-18.65,-173.9833,83.08,74,75,6.91,broken clouds
181,Tighina,MD,46.8306,29.4711,54.37,81,20,3.87,few clouds
182,Kaitangata,NZ,-46.2817,169.8464,46.99,80,100,14.36,overcast clouds
183,Bemidji,US,47.4736,-94.8803,62.69,48,0,0.0,clear sky
184,Piacabucu,BR,-10.4056,-36.4344,75.4,88,34,11.16,scattered clouds
185,Qui Nhon,VN,13.7667,109.2333,83.8,74,100,7.43,overcast clouds
186,Alyangula,AU,-13.8483,136.4192,82.9,57,100,9.48,overcast clouds
187,Husavik,IS,66.0449,-17.3389,41.2,93,65,7.58,broken clouds
188,Hovd,MN,48.0056,91.6419,69.31,33,76,2.06,broken clouds
189,Ponta Do Sol,PT,32.6667,-17.1,66.83,64,31,8.39,scattered clouds
190,Carnarvon,AU,-24.8667,113.6333,68.76,64,85,10.04,overcast clouds
191,Andenes,NO,69.3143,16.1194,51.78,66,40,12.66,scattered clouds
192,Nouakchott,MR,18.0858,-15.9785,66.13,89,5,13.0,clear sky
193,Uspenka,UA,48.3903,39.1619,47.73,74,41,6.87,scattered clouds
194,Starkville,US,33.4504,-88.8184,69.46,92,100,6.64,overcast clouds
195,Olinda,BR,-8.0089,-34.8553,74.93,100,75,4.61,moderate rain
196,Torbay,CA,47.6666,-52.7314,37.58,85,6,18.99,clear sky
197,Port Macquarie,AU,-31.4333,152.9167,64.89,73,32,5.01,scattered clouds
198,Sibu,MY,2.3,111.8167,84.0,72,100,0.51,overcast clouds
199,Marsh Harbour,BS,26.5412,-77.0636,78.22,72,1,14.2,clear sky
200,Paita,PE,-5.0892,-81.1144,65.53,83,6,16.31,clear sky
201,Saquarema,BR,-22.92,-42.5103,68.41,80,0,14.27,clear sky
202,Vaitape,PF,-16.5167,-151.75,81.34,66,9,14.88,clear sky
203,Maine-Soroa,NE,13.2114,12.0241,81.97,8,3,6.8,clear sky
204,Hasaki,JP,35.7333,140.8333,79.29,69,0,10.18,clear sky
205,Wlodawa,PL,51.55,23.55,57.94,65,100,7.43,overcast clouds
206,Kuliyapitiya,LK,7.4688,80.0401,74.98,94,100,4.47,overcast clouds
207,Fortuna,US,40.5982,-124.1573,68.86,63,0,13.8,clear sky
208,Geraldton,AU,-28.7667,114.6,61.21,88,100,6.91,overcast clouds
209,Vestmannaeyjar,IS,63.4427,-20.2734,44.19,81,100,6.8,overcast clouds
210,Rio Grande,BR,-32.035,-52.0986,54.95,90,57,8.01,broken clouds
211,Caravelas,BR,-17.7125,-39.2481,70.38,88,1,6.53,clear sky
212,Milici,BA,44.1711,19.0903,54.57,74,16,4.92,few clouds
213,Sao Joao Da Barra,BR,-21.6403,-41.0511,71.51,75,79,8.03,broken clouds
214,Neka,IR,36.6508,53.299,59.41,92,37,3.27,scattered clouds
215,Port Alfred,ZA,-33.5906,26.891,59.18,92,62,10.22,broken clouds
216,Guarapari,BR,-20.6667,-40.4975,68.29,85,66,3.58,broken clouds
217,Stokmarknes,NO,68.5646,14.9108,49.98,66,86,0.0,overcast clouds
218,Hermiston,US,45.8404,-119.2895,75.22,30,100,0.0,overcast clouds
219,Urumqi,CN,43.801,87.6005,74.35,31,0,8.95,clear sky
220,Gardez,AF,33.5974,69.2259,57.56,47,0,1.68,clear sky
