City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
108,Moose Factory,CA,2022-05-22 02:44:20,51.2585,-80.6094,41.0,75,100,2.3
109,Tromso,NO,2022-05-22 02:44:21,69.6496,18.957,44.62,81,100,2.3
110,Helong,CN,2022-05-22 02:44:21,42.5397,128.9972,71.47,30,4,8.61
111,Yellowknife,CA,2022-05-22 02:43:20,62.456,-114.3525,45.12,100,100,8.05
112,Catamarca,AR,2022-05-22 02:44:22,-28.4696,-65.7852,55.58,54,45,7.0
113,Lavrentiya,RU,2022-05-22 02:44:22,65.5833,-171.0,37.99,90,98,10.16
114,Lewistown,US,2022-05-22 02:43:32,40.5992,-77.5714,80.01,73,20,0.0
115,Gold Coast,AU,2022-05-22 02:44:22,-28.0,153.4333,71.67,73,75,17.27
116,Provideniya,RU,2022-05-22 02:44:23,64.3833,-173.3,50.68,50,99,9.44
117,Tazovskiy,RU,2022-05-22 02:44:23,67.4667,78.7,34.0,95,100,3.89
118,Marawi,PH,2022-05-22 02:44:24,7.9986,124.2928,80.96,69,81,1.99
119,Walla Walla,US,2022-05-22 02:40:08,46.0646,-118.343,59.36,60,100,13.8
120,Margate,GB,2022-05-22 02:44:24,51.3813,1.3862,53.69,83,55,3.76
121,Batsfjord,NO,2022-05-22 02:44:25,70.6345,29.7185,40.93,93,100,8.05
122,Jardim,BR,2022-05-22 02:44:25,-21.4803,-56.1381,54.81,69,61,3.51
123,Ixtapa,MX,2022-05-22 02:44:25,20.7,-105.2,78.03,78,20,6.91
124,Harper,LR,2022-05-22 02:44:26,4.375,-7.7169,76.19,87,100,7.45
125,Cestas,FR,2022-05-22 02:44:26,44.7435,-0.6791,69.73,91,0,2.3
126,Lompoc,US,2022-05-22 02:44:27,34.6391,-120.4579,59.41,81,0,13.8
127,Belmonte,BR,2022-05-22 02:44:27,-15.8631,-38.8828,72.14,72,16,10.13
128,Los Llanos De Aridane,ES,2022-05-22 02:44:27,28.6585,-17.9182,65.95,81,100,14.97
129,Avarua,CK,2022-05-22 02:40:53,-21.2078,-159.775,80.65,78,75,5.75
130,Lasa,IT,2022-05-22 02:44:28,46.6166,10.7002,59.88,70,10,5.37
131,Nemuro,JP,2022-05-22 02:41:28,43.3236,145.575,52.38,94,92,11.59
132,Limon,CR,2022-05-22 02:44:29,10.0,-83.0333,78.37,85,100,2.71
133,Aswan,EG,2022-05-22 02:44:29,24.0934,32.907,76.3,23,0,11.5
134,Khasan,RU,2022-05-22 02:44:30,42.4308,130.6434,65.3,54,2,3.09
135,Chuy,UY,2022-05-22 02:44:30,-33.6971,-53.4616,50.88,90,100,5.91
136,Manado,ID,2022-05-22 02:45:30,1.487,124.8455,90.37,58,40,9.22
137,Taltal,CL,2022-05-22 02:45:31,-25.4,-70.4833,59.76,82,17,3.49
138,Vaitape,PF,2022-05-22 02:45:31,-16.5167,-151.75,80.87,70,11,10.45
139,Norman Wells,CA,2022-05-22 02:42:19,65.282,-126.8329,42.84,87,75,12.66
140,Plunge,LT,2022-05-22 02:45:32,55.9114,21.8442,48.79,98,100,5.86
141,Namibe,AO,2022-05-22 02:45:32,-15.1961,12.1522,67.37,60,32,2.51
142,Saint George,US,2022-05-22 02:40:38,37.1041,-113.5841,79.39,8,0,12.66
143,Apt,FR,2022-05-22 02:45:33,43.8833,5.4,57.18,62,27,3.38
144,Port Augusta,AU,2022-05-22 02:45:33,-32.5,137.7667,70.56,47,10,10.11
145,Saint-Francois,FR,2022-05-22 02:45:27,46.4154,3.9054,60.67,77,0,2.3
146,Junagarh,IN,2022-05-22 02:45:34,19.8667,82.9333,91.63,44,58,6.69
147,Loukhi,RU,2022-05-22 02:45:34,66.0764,33.0381,31.91,89,100,7.47
148,Umba,RU,2022-05-22 02:45:35,66.6871,34.3429,34.11,79,100,7.61
149,Bilibino,RU,2022-05-22 02:45:35,68.0546,166.4372,49.53,57,75,7.58
150,Taikang,CN,2022-05-22 02:45:35,46.8333,124.4167,72.21,30,21,5.61
